id	first_publication
uiuo.ark+=13960=t3zs3102r	1842
uc2.ark+=13960=t0rr1qr61	1801
uc2.ark+=13960=t52f7k96w	1869
uc2.ark+=13960=t4qj79600	1832
ncs1.ark+=13960=t2794fx0m	1866
coo1.ark+=13960=t1ng5723x	1890
coo1.ark+=13960=t64468300	1848
nnc2.ark+=13960=t99629w3q	1922
dul1.ark+=13960=t70v9094q	1769
dul1.ark+=13960=t4qj7xg01	1769
aeu.ark+=13960=t44q8v17k	N/A
uc2.ark+=13960=t08w39v28	N/A
uc2.ark+=13960=t40r9qb1j	1792
nnc2.ark+=13960=t2n59bv2p	1802
loc.ark+=13960=t9k35vk89	N/A
aeu.ark+=13960=t6737zk9v	1794
nnc2.ark+=13960=t4rj6988p	1862
aeu.ark+=13960=t0rr27096	1898
uc2.ark+=13960=t0xp6vs9b	1907
dul1.ark+=13960=t3gx59701	N/A
uc2.ark+=13960=t52f7md74	1834
mdp.39015080969150	N/A
loc.ark+=13960=t4mk6dw64	1856
uc2.ark+=13960=t3bz64f7h	N/A
uc2.ark+=13960=t4fn12q9f	N/A
ncs1.ark+=13960=t9w09k78s	1793
ncs1.ark+=13960=t2r504k7j	1793
dul1.ark+=13960=t3hx2bc7s	1682
uc2.ark+=13960=t07w6b47h	N/A
coo1.ark+=13960=t6sx6vs6q	1889
yale.39002024437437	1802
loc.ark+=13960=t6m05cs94	1800
coo1.ark+=13960=t83j41m3w	1847
nnc2.ark+=13960=t17m0ct8m	1830
dul1.ark+=13960=t78s5qn45	1754
dul1.ark+=13960=t3rv1jn7z	1805
aeu.ark+=13960=t2m62bd84	1769
aeu.ark+=13960=t4dn4vm1k	1757
uc2.ark+=13960=t6k07cr94	1780
aeu.ark+=13960=t5w672253	1769
uc2.ark+=13960=t70v8gz35	1920
coo1.ark+=13960=t9s18jj2j	1869
gri.ark+=13960=t0xp7tm0q	1772
uc2.ark+=13960=t24b3073r	1668
uc2.ark+=13960=t5t728t8q	1796
dul1.ark+=13960=t0xp80m05	N/A
uc2.ark+=13960=t3gx4844t	1794
uc2.ark+=13960=t0rr1qq0p	1749
uc2.ark+=13960=t4gm86j80	1813
uc2.ark+=13960=t9379sg38	1827
coo1.ark+=13960=t3dz0tq0b	1689
dul1.ark+=13960=t45q64685	1816
uc2.ark+=13960=t3zs2pc82	N/A
uiuo.ark+=13960=t9474p24j	1865
uc2.ark+=13960=t58c9t60g	1814
coo1.ark+=13960=t3qv43010	1881
uiuo.ark+=13960=t6640180p	1852
coo1.ark+=13960=t7br9bh4m	N/A
dul1.ark+=13960=t1mg8mq1v	1761
mcg.ark+=13960=t78s7916v	1826
dul1.ark+=13960=t7wm29338	1767
aeu.ark+=13960=t9q24nc56	1750
aeu.ark+=13960=t3kw64h7w	1750
aeu.ark+=13960=t21c2qf16	1776
bc.ark+=13960=t9n29t66s	1921
aeu.ark+=13960=t55d9pj92	N/A
uc2.ark+=13960=t3tt4jx2j	N/A
uiuo.ark+=13960=t8v98v026	1844
aeu.ark+=13960=t69318n2f	1871
uc2.ark+=13960=t1sf2mj1j	1824
aeu.ark+=13960=t5t73624g	1792
coo1.ark+=13960=t17m0v342	1809
uc2.ark+=13960=t51g0jv61	1829
gri.ark+=13960=t7gr0kk9n	N/A
yale.39002002216944	1819
uc2.ark+=13960=t3xs5kn9q	1796
uc2.ark+=13960=t29885n7w	N/A
aeu.ark+=13960=t9b57m64t	1792
yale.39002004362019	1833
mdp.39015013871879	N/A
dul1.ark+=13960=t6545h47n	1786
coo1.ark+=13960=t20c5h946	1912
loc.ark+=13960=t22b92z44	1865
yale.39002024352412	N/A
gri.ark+=13960=t6058js1m	1769
loc.ark+=13960=t4qj8mt5k	1861
yale.39002044803105	1922
loc.ark+=13960=t13n27x7p	1850
loc.ark+=13960=t0rr2kn2g	1921
gri.ark+=13960=t78s8bq0q	1776
loc.ark+=13960=t1fj2kf7m	1842
uc2.ark+=13960=t0vq2w97q	1788
uc2.ark+=13960=t3mw2cg8m	1806
uc2.ark+=13960=t67370k0x	1916
uc2.ark+=13960=t2g73978z	N/A
uiuo.ark+=13960=t01z48z3k	1818
uiuo.ark+=13960=t3tt4pw6p	1832
aeu.ark+=13960=t9v130606	1787
aeu.ark+=13960=t23b6s714	1747
dul1.ark+=13960=t3903f05b	1817
dul1.ark+=13960=t2c83kz9k	N/A
dul1.ark+=13960=t8sb5ct18	1809
uc2.ark+=13960=t4nk36d8h	N/A
uc2.ark+=13960=t02z13r30	1762
uc2.ark+=13960=t9x061x1x	1768
uc2.ark+=13960=t8z893z4k	1766
uc2.ark+=13960=t4rj4b434	1764
uc2.ark+=13960=t8jd4r87p	N/A
uc2.ark+=13960=t0vq2t910	1776
nnc2.ark+=13960=t6rx99g1g	1833
ucw.ark+=13960=t1pg2hz0m	N/A
aeu.ark+=13960=t98633945	1756
gri.ark+=13960=t88h2cc8r	1847
aeu.ark+=13960=t5p85g939	N/A
aeu.ark+=13960=t0dv2934w	1774
dul1.ark+=13960=t57d3jk58	1847
loc.ark+=13960=t9t15gt6d	1922
uc2.ark+=13960=t74t6gx7s	1848
uc2.ark+=13960=t5x63rn1v	1773
dul1.ark+=13960=t2991tn5g	1795
loc.ark+=13960=t15m6qr8h	1855
uc2.ark+=13960=t55d9347p	1784
uc2.ark+=13960=t3ws8kw86	N/A
yale.39002088545711	N/A
loc.ark+=13960=t6445tw11	1848
uc2.ark+=13960=t54f1px4k	1902
loc.ark+=13960=t13n2m89p	1867
uc2.ark+=13960=t6tx3cs63	N/A
uc2.ark+=13960=t6d22b66b	1820
yale.39002085610088	1869
loc.ark+=13960=t3805z773	1917
nnc2.ark+=13960=t3pv6mb2m	1837
mdp.39015004974724	1889
uiuo.ark+=13960=t39029f16	1922
uc2.ark+=13960=t7zk5849m	1905
uc2.ark+=13960=t3vt1jj4r	1870
uc2.ark+=13960=t90865392	1834
uc2.ark+=13960=t4vh5f51t	1877
uc2.ark+=13960=t2c82727f	1896
uc2.ark+=13960=t45q4x52k	N/A
loc.ark+=13960=t3514hf8x	1886
uc2.ark+=13960=t7qn60s9q	1765
aeu.ark+=13960=t7np2g22x	1893
coo1.ark+=13960=t3hx1ww87	1920
uc2.ark+=13960=t2t440s6w	1815
aeu.ark+=13960=t59c83m22	1759
mdp.39015055286184	1836
uc2.ark+=13960=t70v8ch90	1898
coo1.ark+=13960=t60584d26	1853
nnc2.ark+=13960=t5z619z50	1896
coo1.ark+=13960=t6k07mz3t	1719
uc2.ark+=13960=t73t9dq2p	N/A
loc.ark+=13960=t0cv5bc56	1899
uc2.ark+=13960=t6j10312d	N/A
uc2.ark+=13960=t5cc1650g	1914
gri.ark+=13960=t16m5sq1f	1761
gri.ark+=13960=t5m92zv88	N/A
uc2.ark+=13960=t87h1pr8q	1859
aeu.ark+=13960=t9v12sk5p	1833
coo1.ark+=13960=t4dn4q27n	1921
coo1.ark+=13960=t8x92s20n	1810
aeu.ark+=13960=t8df7h18c	1784
loc.ark+=13960=t85h8d302	1869
coo1.ark+=13960=t3ws9786d	1919
uc2.ark+=13960=t4pk07d83	1861
uc2.ark+=13960=t3513wf7m	1878
uc2.ark+=13960=t37080z7r	1767
aeu.ark+=13960=t1wd4fh8r	1765
uc2.ark+=13960=t21c25g11	1833
uc2.ark+=13960=t1jh3f52x	1764
uc2.ark+=13960=fk73t9dq4f	1858
aeu.ark+=13960=t76t1r461	1825
aeu.ark+=13960=t5gb2n538	N/A
uiuo.ark+=13960=t5k93zs12	1818
mdp.39015053695188	1886
uc2.ark+=13960=t1pg1hv8r	1899
yale.39002012678877	N/A
uiuo.ark+=13960=t58d0dz09	1812
uc2.ark+=13960=t8kd1v39t	N/A
dul1.ark+=13960=t7fr0mh5x	1873
uc2.ark+=13960=t9183689w	1812
uc2.ark+=13960=t2g738v6n	1905
uc2.ark+=13960=t11n7z09h	1850
uc2.ark+=13960=t4pk0fr63	1899
aeu.ark+=13960=t5cc22w9z	1763
yale.39002034629452	1798
mdp.39015074724421	N/A
aeu.ark+=13960=t14n0ck5f	1834
aeu.ark+=13960=t7qn6xg5x	1845
uc2.ark+=13960=t72v2tj6q	1780
uc2.ark+=13960=t72v2nk06	1908
aeu.ark+=13960=t5t74c41c	1905
coo1.ark+=13960=t8pc46d0c	1899
yale.39002050467399	N/A
uc2.ark+=13960=t3vt1hb16	1921
uc2.ark+=13960=t8sb4136r	N/A
uc2.ark+=13960=t72v2n19c	1794
uc2.ark+=13960=t49p2zt0p	1849
yale.39002088672895	N/A
dul1.ark+=13960=t4fn2rq55	1669
uc2.ark+=13960=t80k27z21	1772
aeu.ark+=13960=t51g1fq8b	1791
aeu.ark+=13960=t72v3m85j	1823
uc2.ark+=13960=t9765d91w	N/A
gri.ark+=13960=t2f79zj2x	1761
uc2.ark+=13960=t1bk19j7p	1890
uc2.ark+=13960=t8w952d5p	1758
dul1.ark+=13960=t2k66j08f	1857
uc2.ark+=13960=t6348kg1k	1907
loc.ark+=13960=t7mp68x3b	1912
coo1.ark+=13960=t40s0bc6s	1920
coo1.ark+=13960=t0ms49g0t	1906
uc2.ark+=13960=t6xw4dz38	N/A
uc2.ark+=13960=t0rr1r76q	1795
aeu.ark+=13960=t2c82w15w	1766
uc2.ark+=13960=t4qj7968v	1764
uc2.ark+=13960=t7sn0fv1g	N/A
uc2.ark+=13960=t03x85727	1920
uc2.ark+=13960=t8nc5v295	1861
aeu.ark+=13960=t7mp5vv14	1847
gri.ark+=13960=t7kp98w46	N/A
yale.39002042014036	1891
loc.ark+=13960=t9m34318z	1852
aeu.ark+=13960=t2m62jm9s	1795
aeu.ark+=13960=t65435t5r	1868
ucw.ark+=13960=t00z7mj54	N/A
uc2.ark+=13960=t76t0mt02	N/A
coo1.ark+=13960=t3514k37s	1823
uc2.ark+=13960=t5h997s30	1719
uiuo.ark+=13960=t5db8cz0g	N/A
uc2.ark+=13960=t0gt5kd73	N/A
uc2.ark+=13960=fk5z60cc6n	1856
coo1.ark+=13960=t40s0bq0c	1866
aeu.ark+=13960=t3tt56739	1808
ncs1.ark+=13960=t9q246j52	1911
yale.39002088441515	1797
aeu.ark+=13960=t00z80v34	1854
uc2.ark+=13960=t7tm7415j	1907
loc.ark+=13960=t7gq7m45m	1851
coo1.ark+=13960=t3dz0tt2n	N/A
uc2.ark+=13960=t8qc07t4w	1912
gri.ark+=13960=t5q83s041	1773
aeu.ark+=13960=t3st8rm1q	1760
loc.ark+=13960=t8w96dt5k	N/A
uc2.ark+=13960=t5v69b880	1900
aeu.ark+=13960=t87h25043	1809
yale.39002088446787	1798
uc2.ark+=13960=t2x34qf6p	1831
uc2.ark+=13960=t2t43q88f	1922
coo1.ark+=13960=t3pv71z6z	N/A
mdp.39015020178789	1879
uc2.ark+=13960=t0vq2v650	1920
loc.ark+=13960=t59c7vc72	N/A
loc.ark+=13960=t9k36n61w	1872
aeu.ark+=13960=t72v2w23t	1896
emu.010001023089	1891
uc2.ark+=13960=t3zs2m58j	N/A
uc2.ark+=13960=t88g8j35q	1922
aeu.ark+=13960=t3qv44m7c	1877
loc.ark+=13960=t0tq75964	1835
uc2.ark+=13960=t6c24st67	1821
gri.ark+=13960=t4km2zf30	1829
uc2.ark+=13960=t6251gq68	1922
yale.39002061263456	1889
loc.ark+=13960=t3fx8kd3v	1781
loc.ark+=13960=t3dz0gv2z	1882
loc.ark+=13960=t38060r5n	1818
loc.ark+=13960=t59c7s82g	N/A
loc.ark+=13960=t9q24rg1v	1816
uc2.ark+=13960=t6vx0878t	1918
coo1.ark+=13960=t20c5hf1j	N/A
yale.39002030622501	N/A
gri.ark+=13960=t5fb7xd96	1836
yale.39002007779433	N/A
uc2.ark+=13960=t51g0jv04	1849
uc2.ark+=13960=t7cr5tc1z	1826
uc2.ark+=13960=t3jw8804t	1786
uc2.ark+=13960=t09w0b123	1761
aeu.ark+=13960=t0xp7bd64	1871
coo1.ark+=13960=t2s477q2s	1891
uc2.ark+=13960=t3319tb8k	1835
loc.ark+=13960=t7np2jm6v	N/A
uiuo.ark+=13960=t4dn4n912	1817
dul1.ark+=13960=t2b88k192	1793
uc2.ark+=13960=t6nz81c68	1859
uc2.ark+=13960=t7dr30q6g	N/A
uc2.ark+=13960=t6251jb5p	1816
coo1.ark+=13960=t45q5mt4q	1826
loc.ark+=13960=t0ht3g28d	1904
uc2.ark+=13960=t2c825s0n	1793
uc2.ark+=13960=t3hx1702t	1753
uc2.ark+=13960=t7cr5qd34	1769
uc2.ark+=13960=t2988602c	1903
uc2.ark+=13960=t6m040b3g	N/A
dul1.ark+=13960=t42r54z44	1795
dul1.ark+=13960=t9v12sx2q	1862
uc2.ark+=13960=t86h4vz6b	1811
uc2.ark+=13960=t7tm73x68	1849
uc2.ark+=13960=t4cn7297r	1759
dul1.ark+=13960=t4pk1dj6c	N/A
yale.39002024019219	N/A
loc.ark+=13960=t2n59918d	N/A
coo1.ark+=13960=t04x5vs6s	1908
uc2.ark+=13960=t7wm18q03	N/A
loc.ark+=13960=t40s05326	1849
coo1.ark+=13960=t7vm4t981	1893
uc2.ark+=13960=t3hx18x87	1755
yale.39002007512065	1846
loc.ark+=13960=t74t7402h	N/A
loc.ark+=13960=t5h99826f	1845
nnc2.ark+=13960=t57d45j1q	1890
uc2.ark+=13960=t12n51d0x	N/A
loc.ark+=13960=t5h99j82h	1848
gri.ark+=13960=t5w691p9f	1789
uc2.ark+=13960=t6tx3m85s	1777
uc2.ark+=13960=t8bg2z81b	N/A
gri.ark+=13960=t4mk7k940	1754
uc2.ark+=13960=t3pv6cd2m	1858
nnc2.ark+=13960=t35142p2s	1836
aeu.ark+=13960=t1sf3jp0d	1754
aeu.ark+=13960=t7rn3xf83	N/A
ncs1.ark+=13960=t7tm7vj2h	N/A
aeu.ark+=13960=t24b46k4k	1871
loc.ark+=13960=t45q5f169	1828
uc2.ark+=13960=t9c53t74j	1845
uc2.ark+=13960=t6rx9fc47	N/A
loc.ark+=13960=t4pk0vc9k	1864
aeu.ark+=13960=t78s59c2n	1761
uc2.ark+=13960=t02z1g45f	N/A
uc2.ark+=13960=t0vq2tx8f	N/A
loc.ark+=13960=t5h99qp4x	N/A
loc.ark+=13960=t7br9j29p	1916
uc2.ark+=13960=t7sn0cd5r	N/A
loc.ark+=13960=t1xd1k494	1917
aeu.ark+=13960=t0wq0jg8v	1755
aeu.ark+=13960=t2j68j15w	1819
loc.ark+=13960=t3kw62q1v	1916
mdp.39015021971471	1898
uc2.ark+=13960=t8v98df53	N/A
uc2.ark+=13960=t5j963b9k	1918
uc2.ark+=13960=t91838x1c	1921
yale.39002064470298	1861
uc2.ark+=13960=t3fx8c100	1920
coo1.ark+=13960=t05x2x02j	1865
uc2.ark+=13960=t9377847r	1774
coo1.ark+=13960=t5v700m4b	1917
gri.ark+=13960=t55f03f9m	1758
uc2.ark+=13960=t77s7xz82	N/A
loc.ark+=13960=t4km0f500	1863
aeu.ark+=13960=t2h710018	1788
uc2.ark+=13960=t1sf3281q	1856
mdp.39015060460840	N/A
aeu.ark+=13960=t6vx16h8z	1774
uc2.ark+=13960=t6c24v50n	1798
coo1.ark+=13960=t8w95qp0q	1863
nc01.ark+=13960=t6zw2h62q	N/A
mmet.ark+=13960=t75t3pq0c	1755
aeu.ark+=13960=t2989131j	1798
coo1.ark+=13960=t4rj5nn7w	1916
aeu.ark+=13960=t5db8tp1r	1813
gri.ark+=13960=t6rz0dm2x	N/A
gri.ark+=13960=t1wd7k14b	1748
gri.ark+=13960=t0qr86b2v	1828
aeu.ark+=13960=t11n8zt09	N/A
uc2.ark+=13960=t9r20sh4z	1880
loc.ark+=13960=t9v12jr6h	N/A
coo1.ark+=13960=t79s29r8n	1880
aeu.ark+=13960=t01z4qb6b	N/A
yale.39002034615634	1768
loc.ark+=13960=t9t169f8r	N/A
aeu.ark+=13960=t0rr2mr08	1775
aeu.ark+=13960=t6155r408	1839
uc2.ark+=13960=t5k932z02	1892
coo1.ark+=13960=t9d516k06	N/A
uc2.ark+=13960=t85h7ph0c	1758
uc2.ark+=13960=t49p3071b	1773
gri.ark+=13960=t1ng6wz3t	1806
uc2.ark+=13960=t0dv1gb0s	N/A
uc2.ark+=13960=t2n58hq70	1845
loc.ark+=13960=t8pc3wd9m	N/A
loc.ark+=13960=t82j6zb0g	N/A
uc2.ark+=13960=t4sj1db0c	1885
loc.ark+=13960=t3fx7hh5z	1899
ncs1.ark+=13960=t61553k3p	1832
coo1.ark+=13960=t22b9kk0g	1889
uc2.ark+=13960=t49p3627g	1862
uc2.ark+=13960=fk3qv3c84k	1920
uc2.ark+=13960=t8gf0qm6g	1869
uc2.ark+=13960=t26975v1q	1887
uc2.ark+=13960=t0bv7dz2n	N/A
coo1.ark+=13960=t5r78xn80	N/A
uc2.ark+=13960=t56d5r499	1819
uc2.ark+=13960=fk48p5vj3z	1871
aeu.ark+=13960=t6pz6b809	1804
dul1.ark+=13960=t3708rf17	1717
uc2.ark+=13960=t4xg9vz88	N/A
uc2.ark+=13960=t2v40n048	1850
nnc2.ark+=13960=t5s76nt4j	1812
dul1.ark+=13960=t7pn9wz5m	1839
uc2.ark+=13960=t1fj2cx6x	N/A
uiuo.ark+=13960=t5j96p68b	1841
mdp.39015024249636	1783
loc.ark+=13960=t0vq35920	1829
aeu.ark+=13960=t0gt6v51r	1910
uc2.ark+=13960=t3029421r	N/A
uc2.ark+=13960=t7wm16m8s	1830
uiuc.2441627_001	N/A
coo1.ark+=13960=t80k2zc80	1896
uiuo.ark+=13960=t0zp4jn7d	1867
aeu.ark+=13960=t2m62ks1k	1827
aeu.ark+=13960=t0qr57r4g	1883
uc2.ark+=13960=t4kk9kc88	1805
aeu.ark+=13960=t9281j50w	1805
aeu.ark+=13960=t1pg28709	1779
nc01.ark+=13960=t2k64rw7b	N/A
uc2.ark+=13960=t39z92x88	1922
dul1.ark+=13960=t5j97614r	1801
uc2.ark+=13960=t7rn36w0c	N/A
aeu.ark+=13960=t5w66wn8q	1900
loc.ark+=13960=t0ht3xj25	1812
ncs1.ark+=13960=t5w673m9m	1772
uc2.ark+=13960=t6k071b27	1813
aeu.ark+=13960=t0jt0397p	N/A
aeu.ark+=13960=t8sb4fj90	1895
coo1.ark+=13960=t4gm8sn4f	1782
uc2.ark+=13960=t0rr1r865	N/A
uc2.ark+=13960=t6736ns7g	1852
uiuo.ark+=13960=t9w09mk6q	1832
aeu.ark+=13960=t0vq3gn26	1782
uc2.ark+=13960=t81j9p67k	1759
gri.ark+=13960=t6zw2416v	N/A
aeu.ark+=13960=t57d3f98w	1851
uc2.ark+=13960=t8df6pm0t	N/A
yale.39002014976253	N/A
uc2.ark+=13960=t84j0pt0s	N/A
aeu.ark+=13960=t8cg0h426	1797
uc2.ark+=13960=t6qz24387	1756
uc2.ark+=13960=t4jm26n76	1851
uc2.ark+=13960=t6tx38z9j	1920
loc.ark+=13960=t5r78qv3s	1832
aeu.ark+=13960=t53f5bb5h	1757
uc2.ark+=13960=t2697077g	1896
coo1.ark+=13960=t2794rb6m	1855
nc01.ark+=13960=t5w67gq05	N/A
aeu.ark+=13960=t11n8qv1b	1774
uc2.ark+=13960=t5bc3w309	1892
uc2.ark+=13960=t7zk5m72q	1781
uc2.ark+=13960=t47p8wc91	1843
uc2.ark+=13960=t7pn91x69	N/A
loc.ark+=13960=t7br9cq0s	N/A
coo1.ark+=13960=t7np2mp72	1877
uc2.ark+=13960=t8x923465	1826
uc2.ark+=13960=t83j3dp0h	N/A
uc2.ark+=13960=t9668hc7r	1906
aeu.ark+=13960=t8gf1cz09	N/A
nnc2.ark+=13960=t0rr33h7p	1766
uc2.ark+=13960=t3jw87v2n	1753
uc2.ark+=13960=t82j69s0f	1779
loc.ark+=13960=t1cj9kt9j	1827
aeu.ark+=13960=t3st81516	N/A
loc.ark+=13960=t72v3740s	1874
aeu.ark+=13960=t11n8vx9r	1889
gri.ark+=13960=t2s47ff73	1755
aeu.ark+=13960=t52f85z0x	1895
uiuo.ark+=13960=t0rr1vt72	1867
uc2.ark+=13960=t2h70jp2z	1891
uc2.ark+=13960=t39020q12	1760
uc2.ark+=13960=t7cr5pz2d	N/A
loc.ark+=13960=t2m627f6c	1873
uc2.ark+=13960=t7sn0bj4n	1820
uc2.ark+=13960=t0ms3sz6d	1909
uc2.ark+=13960=t1jh3h594	1791
uc2.ark+=13960=t3028qn8d	1766
gri.ark+=13960=t6sx8rr59	1795
nc01.ark+=13960=t2c82sp2q	N/A
loc.ark+=13960=t3bz7cn22	1845
yale.39002004429651	1876
aeu.ark+=13960=t0000ds9d	1754
loc.ark+=13960=t1dj63j3f	1917
aeu.ark+=13960=t0ft9bt88	1759
aeu.ark+=13960=t9m33md39	1757
uc2.ark+=13960=t77s7nd35	N/A
dul1.ark+=13960=t6155qx62	N/A
aeu.ark+=13960=t0ft9nw01	1755
aeu.ark+=13960=t6k07nr22	1750
yale.39002021341889	N/A
aeu.ark+=13960=t79s2vg2s	1759
dul1.ark+=13960=t9766mw2v	1754
uc2.ark+=13960=t7kp7w77t	N/A
uc2.ark+=13960=t9765fp36	1753
aeu.ark+=13960=t1kh1jp5w	1755
aeu.ark+=13960=t6c25gc9h	1756
aeu.ark+=13960=t47p9t18m	1756
aeu.ark+=13960=t2c832v2n	1757
dul1.ark+=13960=t6nz99m7k	1752
uc2.ark+=13960=t3mw2pv0d	N/A
uc2.ark+=13960=t4sj1f27k	1768
dul1.ark+=13960=t36125r9v	1764
uc2.ark+=13960=t58c9vh4v	1765
aeu.ark+=13960=t9183w62w	1761
uc2.ark+=13960=t2v40m59h	1754
aeu.ark+=13960=t40s0nh5t	1760
uc2.ark+=13960=t01z42x06	N/A
dul1.ark+=13960=t27959r03	1696
mdp.39015073761663	N/A
aeu.ark+=13960=t0ft9qq8g	1760
dul1.ark+=13960=t59c8360q	N/A
uiuo.ark+=13960=t83j3w353	1764
aeu.ark+=13960=t8df7sw20	1762
aeu.ark+=13960=t6k07w28w	1774
uc2.ark+=13960=t9668b65g	1773
aeu.ark+=13960=t6f19j92v	1776
uc2.ark+=13960=t22b8wj2b	1775
uc2.ark+=13960=t1mg7h01t	1778
uc2.ark+=13960=t5x63s57w	N/A
uc2.ark+=13960=t50g3mc7w	1779
aeu.ark+=13960=t8tb1wb10	1772
aeu.ark+=13960=t3805mj4j	N/A
aeu.ark+=13960=t3029f36b	N/A
aeu.ark+=13960=t58d0q45p	1776
dul1.ark+=13960=t3kw6cs1g	N/A
gri.ark+=13960=t7sn16084	N/A
uc2.ark+=13960=t4mk66j3q	N/A
aeu.ark+=13960=t5z61h07w	N/A
uc2.ark+=13960=t3610zx4f	1785
aeu.ark+=13960=t02z29r3v	1784
mdp.39015013163434	1787
uiuc.2511220	1789
uc2.ark+=13960=t90864w0m	1783
aeu.ark+=13960=t6446j66j	1789
dul1.ark+=13960=t03x90642	1788
uc2.ark+=13960=t1pg1kc4c	N/A
uc2.ark+=13960=t4zg6j70f	N/A
uc2.ark+=13960=t3ws8jx3t	1794
mdp.39015080242095	1789
aeu.ark+=13960=t7zk69j5v	1798
mdp.39015069428061	N/A
uc2.ark+=13960=t6m040z41	N/A
mcg.ark+=13960=t2d80zt43	1795
aeu.ark+=13960=t9w09rf53	1799
uc2.ark+=13960=t8kd1v44v	1799
aeu.ark+=13960=t2q53hj7g	1789
aeu.ark+=13960=t85h83w71	1799
uc2.ark+=13960=t3kw58s5s	1825
aeu.ark+=13960=t04x63s81	N/A
aeu.ark+=13960=t8df7z286	N/A
aeu.ark+=13960=t9g45vv7t	N/A
